publishedAt,title,viewCount
2021-07-14T08:00:13Z,バンドリ！ガールズバンドパーティ！presents モニカラジオ #65,13425
2021-07-11T04:00:13Z,ぽぴばん！#10「関西旅！前編」,63162
2021-07-11T03:01:28Z,Roselia『Sprechchor』MV Short ver.,99220
2021-07-10T03:00:00Z,『Sprechchor』Roselia(難易度：EXPERT)【ガルパ プレイ動画】,67566
2021-07-10T01:00:48Z,Roseliaダイジェストストーリー後編,11126
2021-07-10T01:00:31Z,Roseliaダイジェストストーリー前編,7412
2021-07-09T12:13:54Z,Roselia3章開催決定記念番組,74276
2021-07-09T11:58:52Z,Roseliaバンドストーリー3章「Sprechchor」第1話,17020
2021-07-09T10:28:29Z,Roselia バンドストーリー3章予告MOVIE,75075
2021-07-09T04:14:14Z,バンドリ！TV LIVE 2021 #74,61456
2021-07-08T03:00:12Z,【CM】「バンステ！BanG Dream! STATION 2021」本日23:00より放送スタート！,39589
2021-07-07T08:00:12Z,バンドリ！ガールズバンドパーティ！presents モニカラジオ #64,11375
2021-07-03T02:56:42Z,『Singing “OURS”』Roselia(難易度：EXPERT)【ガルパ プレイ動画】,61107
2021-07-02T05:00:14Z,劇場版「BanG Dream! Episode of Roselia Ⅱ : Song I am.」全国の映画館にて上映中！,98246
2021-07-02T03:01:06Z,『ここから先は歌にならない』Poppin'Party(難易度：EXPERT)【ガルパ プレイ動画】,66264
2021-07-01T14:39:51Z,バンドリ！TV LIVE 2021 #73,68840
2021-07-01T09:30:06Z,「エクストラブースター Poppin’Party×Roselia」「エクストラブースター Morfonica×RAISE A SUILEN」ヴァイスシュヴァルツ商品CM #バンドリ,61080
2021-06-30T08:00:14Z,バンドリ！ガールズバンドパーティ！presents モニカラジオ #63,11285
2021-06-29T05:01:15Z,【6月30日(水)発売】新譜の中身はなんだろな？！？？！,26960
2021-06-29T03:05:54Z,『ヒューマノイド』Afterglow(難易度：EXPERT)【ガルパ プレイ動画】,66530
2021-06-24T14:45:18Z,バンドリ！TV LIVE 2021 #72,61493
2021-06-24T03:00:02Z,『Sing Alive』Roselia(難易度：EXPERT)【ガルパ プレイ動画】,100513
2021-06-23T09:00:09Z,【CM】ハロー、ハッピーワールド！ 1st Album「にこにこねくと！」,12760
2021-06-23T08:00:14Z,バンドリ！ガールズバンドパーティ！presents モニカラジオ #62,11996
2021-06-22T03:00:11Z,劇場版「BanG Dream! Episode of Roselia Ⅱ : Song I am.」RTキャンペーン　スペシャルムービー,22748
2021-06-21T11:00:05Z,【試聴動画】ハロー、ハッピーワールド！1st Album「にこにこねくと！」（2021/7/14 発売‼︎）,31131
2021-06-20T03:00:11Z,『大河よ共に泣いてくれ』Poppin'Party(難易度：EXPERT)【ガルパ プレイ動画】,72260
2021-06-20T03:00:05Z,ガルパ×『ゾンビランドサガ リベンジ』コラボメンバー紹介ムービー,85451
2021-06-19T05:00:09Z,【劇場版公開記念】Roselia「LOUDER」Chronicle movie,387532
2021-06-19T03:00:14Z,『徒花ネクロマンシー』Pastel＊Palettes(難易度：EXPERT)【ガルパ プレイ動画】,115898
2021-06-17T14:38:54Z,バンドリ！TV LIVE 2021 #71,64296
2021-06-16T08:00:12Z,バンドリ！ガールズバンドパーティ！presents モニカラジオ #61,12274
2021-06-12T12:51:49Z,ガルパステーション【#1】パスパレのコラボイベント情報やNintendo Switch™版などガルパの最新情報をお届け！,177303
2021-06-12T11:45:32Z,「バンドリ！ ガールズバンドパーティ！ for Nintendo Switch」速報PV,190182
2021-06-12T11:40:42Z,ガルパ×『ゾンビランドサガ リベンジ』コラボPV,167435
2021-06-10T14:43:19Z,バンドリ！TV LIVE 2021 #70,52891
2021-06-09T08:00:11Z,バンドリ！ガールズバンドパーティ！presents モニカラジオ #60,12729
2021-06-09T03:19:53Z,『ないすみちゅっ！』ハロー、ハッピーワールド！(難易度：EXPERT)【ガルパ プレイ動画】,53035
2021-06-07T09:00:05Z,【CM】劇場版「BanG Dream! Episode of Roselia」Theme Songs Collection,61412
2021-06-06T12:00:26Z,【試聴動画】劇場版「BanG Dream! Episode of Roselia」Theme Songs Collection（2021/6/30発売‼︎）,255816
2021-06-06T10:26:59Z,「バンドリ！劇場作品大発表会」＆【冒頭部分無料公開】「BanG Dream! Girls Talk Party! 2021」（DAY2）,82335
2021-06-06T09:36:18Z,ミニアニメ「BanG Dream! ガルパ☆ピコ ふぃーばー！」制作決定！！,69917
2021-06-06T09:32:14Z,劇場版「BanG Dream! ぽっぴん'どりーむ！」ティザームービー,120614
2021-06-06T09:23:18Z,劇場版「BanG Dream! FILM LIVE 2nd Stage」60秒PV,54971
2021-06-06T09:23:15Z,劇場版「BanG Dream! FILM LIVE 2nd Stage」メインビジュアル第2弾公開！,27839
2021-06-06T09:03:59Z,劇場版「BanG Dream! Episode of Roselia Ⅰ : 約束」ダイジェストムービー,60346
2021-06-06T09:03:42Z,劇場版「BanG Dream! Episode of Roselia Ⅱ : Song I am.」Ver. スペシャルED,103222
2021-06-05T10:42:23Z,【冒頭部分無料公開】「BanG Dream! Girls Talk Party! 2021」（DAY1）,84707
2021-06-03T14:39:45Z,バンドリ！TV LIVE 2021 #69,58308
2021-06-02T08:00:14Z,バンドリ！ガールズバンドパーティ！presents モニカラジオ #59,12106
2021-05-31T07:28:44Z,ぽぴばん！#9「バーベキューをしよう！」,44816
2021-05-30T03:00:01Z,『カナユメ』Afterglow(難易度：EXPERT)【ガルパ プレイ動画】,54771
2021-05-27T14:36:44Z,バンドリ！TV LIVE 2021 #68,61841
2021-05-26T08:00:14Z,バンドリ！ガールズバンドパーティ！presents モニカラジオ #58,12983
